form	segmentation	root	note	source
tulian	tuli + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tulun	tulu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tumban	tumba + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tumirak	t + -um- + irak	irak		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tumpangan	tumpang + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tungdun	tungdu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ulayan	ulay + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
undulan	undul + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
unyun	unyu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
wagasan	wagas + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
