form	segmentation	root	note	source
iparam	i- + param	param		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ising	i- + sing	sing		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kabalan	kabal + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kabalenan	kabalen + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kaban	kaba + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kahan	kaha + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kalaban	kalaba + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kalamnan	kalam + -nan	nan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kalangan	kalang + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kalapan	kalap + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kalingkingan	kalingking + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kalusan	kalus + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kambangan	kambang + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kampilan	kampil + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kampun	kampu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kanan	kan + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kandungan	kandung + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kangkungan	kangkung + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kantuan	kantu + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kanuan	kanu + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kanuanan	kanu + -anan	anan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kanyun	kanyu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kapayan	kapaya + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kapitan	kapit + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kapitnan	kapit + -nan	nan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
karin	kari + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
karinan	kari + -nan	nan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
karit	k + -ar- + it	it		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kasalanan	kasal + -anan	anan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
katasan	katas + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
katauan	katau + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
katun	katu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
katutuan	katutu + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kawan	kawa + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kayabangan	kayabang + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kayan	kaya + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kekongan	kekong + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ketungan	ketung + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kinang	k + -in- + ang	ang		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kinarayum	k + -in- + arayum	arayum		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kinastuli	k + -in- + astuli	astuli		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kindatan	kindat + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kinua	k + -in- + ua	ua		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kuanan	kua + -nan	nan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kukuanan	kuku + -anan	anan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kulkulan	kulkul + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kulungan	kulung + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kumari	k + -um- + ari	ari		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kumit	k + -um- + it	it		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kuran	kura + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kutnan	kut + -nan	nan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
kutun	kutu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
laban	laba + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
labasan	labas + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
labugan	labug + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lacbangan	lacbang + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lacdungan	lacdung + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lagarian	lagari + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lakan	laka + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lakatan	lakat + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lakuan	laku + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lalabangan	la- + labang + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lambangan	lambang + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lampan	lampa + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lansangan	lansang + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
larinan	la- + rin + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lasun	lasu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lauitan	lauit + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
liman	lima + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
limbagan	limbag + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
linyu	l + -in- + yu	yu		demoted from roots.tsv: decomposes into a licensed affix plus another headword
luklukan	lukluk + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lukungan	lukung + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lulun	lulu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lumakad	l + -um- + akad	akad		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lumapot	l + -um- + apot	apot		demoted from roots.tsv: decomposes into a licensed affix plus another headword
lumud	l + -um- + ud	ud		demoted from roots.tsv: decomposes into a licensed affix plus another headword
maganda	mag- + anda	anda		demoted from roots.tsv: decomposes into a licensed affix plus another headword
magaral	mag- + aral	aral		demoted from roots.tsv: decomposes into a licensed affix plus another headword
magasin	mag- + asin	asin		demoted from roots.tsv: decomposes into a licensed affix plus another headword
magbasebaly	mag- + basebaly	basebaly		demoted from roots.tsv: decomposes into a licensed affix plus another headword
magbili	mag- + bili	bili		demoted from roots.tsv: decomposes into a licensed affix plus another headword
magdusug	mag- + dusug	dusug		demoted from roots.tsv: decomposes into a licensed affix plus another headword
magimporta	mag- + importa	importa		demoted from roots.tsv: decomposes into a licensed affix plus another headword
magkalutu	mag- + kalutu	kalutu		demoted from roots.tsv: decomposes into a licensed affix plus another headword
magkanu	mag- + kanu	kanu		demoted from roots.tsv: decomposes into a licensed affix plus another headword
maglampaso	mag- + lampaso	lampaso		demoted from roots.tsv: decomposes into a licensed affix plus another headword
magmaneo	mag- + maneo	maneo		demoted from roots.tsv: decomposes into a licensed affix plus another headword
magparam	mag- + param	param		demoted from roots.tsv: decomposes into a licensed affix plus another headword
magpaynawa	mag- + paynawa	paynawa		demoted from roots.tsv: decomposes into a licensed affix plus another headword
magplano	mag- + plano	plano		demoted from roots.tsv: decomposes into a licensed affix plus another headword
malun	m- + alun	alun		demoted from roots.tsv: decomposes into a licensed affix plus another headword
managkat	man- + agkat	agkat		demoted from roots.tsv: decomposes into a licensed affix plus another headword
manana	man- + ana	ana		demoted from roots.tsv: decomposes into a licensed affix plus another headword
manatap	man- + atap	atap		demoted from roots.tsv: decomposes into a licensed affix plus another headword
manatcha	man- + atcha	atcha		demoted from roots.tsv: decomposes into a licensed affix plus another headword
manda	m- + anda	anda		demoted from roots.tsv: decomposes into a licensed affix plus another headword
mandarul	m- + andarul	andarul		demoted from roots.tsv: decomposes into a licensed affix plus another headword
mandilu	man- + dilu	dilu		demoted from roots.tsv: decomposes into a licensed affix plus another headword
mangan	manga + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
mangawa	man- + gawa	gawa		demoted from roots.tsv: decomposes into a licensed affix plus another headword
manibat	man- + ibat	ibat		demoted from roots.tsv: decomposes into a licensed affix plus another headword
manika	man- + ika	ika		demoted from roots.tsv: decomposes into a licensed affix plus another headword
mantala	man- + tala	tala		demoted from roots.tsv: decomposes into a licensed affix plus another headword
mapia	m- + apia	apia		demoted from roots.tsv: decomposes into a licensed affix plus another headword
marayu	m + -ar- + ayu	ayu		demoted from roots.tsv: decomposes into a licensed affix plus another headword
masikan	m- + asikan	asikan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
masyas	m- + asyas	asyas		demoted from roots.tsv: decomposes into a licensed affix plus another headword
matan	mata + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
matas	m- + atas	atas		demoted from roots.tsv: decomposes into a licensed affix plus another headword
matni	m- + atni	atni		demoted from roots.tsv: decomposes into a licensed affix plus another headword
maton	mato + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
mayan	maya + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
mayna	m- + ayna	ayna		demoted from roots.tsv: decomposes into a licensed affix plus another headword
mikit	m- + ikit	ikit		demoted from roots.tsv: decomposes into a licensed affix plus another headword
minda	m- + inda	inda		demoted from roots.tsv: decomposes into a licensed affix plus another headword
mingkung	m- + ingkung	ingkung		demoted from roots.tsv: decomposes into a licensed affix plus another headword
mintis	min- + tis	tis		demoted from roots.tsv: decomposes into a licensed affix plus another headword
muang	m- + uang	uang		demoted from roots.tsv: decomposes into a licensed affix plus another headword
