variant	canonical	note	source
astrónomo	astronomo	original dictionary spelling	merged from candidate lexicon
asucal	asukal	original dictionary spelling	merged from candidate lexicon
asuncion	asunsion	original dictionary spelling	merged from candidate lexicon
asû	asu	original dictionary spelling	merged from candidate lexicon
atdû	atdu	original dictionary spelling	merged from candidate lexicon
atenciun	atensiun	original dictionary spelling	merged from candidate lexicon
ateo	ateista	original dictionary spelling	merged from candidate lexicon
ateísmo	ateismo	original dictionary spelling	merged from candidate lexicon
ateísta	ateista	original dictionary spelling	merged from candidate lexicon
atin	tin	original dictionary spelling	merged from candidate lexicon
atlántico	atlantiko	original dictionary spelling	merged from candidate lexicon
atlética	atletika	original dictionary spelling	merged from candidate lexicon
atnğa	atnga	original dictionary spelling	merged from candidate lexicon
atomico	atomiko	original dictionary spelling	merged from candidate lexicon
atracción	atracsion	original dictionary spelling	merged from candidate lexicon
atsaca	atsaka	original dictionary spelling	merged from candidate lexicon
atsara	achara	original dictionary spelling	merged from candidate lexicon
atî	ati	original dictionary spelling	merged from candidate lexicon
automático	automatiko	original dictionary spelling	merged from candidate lexicon
avocado	avokado	original dictionary spelling	merged from candidate lexicon
ayi	ay	original dictionary spelling	merged from candidate lexicon
ayunğin	ayungin	original dictionary spelling	merged from candidate lexicon
ayâ	aya	original dictionary spelling	merged from candidate lexicon
azucena	azusena	original dictionary spelling	merged from candidate lexicon
azukal	asukal	original dictionary spelling	merged from candidate lexicon
año	ano	original dictionary spelling	merged from candidate lexicon
babâ	baba	original dictionary spelling	merged from candidate lexicon
bacabaca	bakabaka	original dictionary spelling	merged from candidate lexicon
bacal	bakal	original dictionary spelling	merged from candidate lexicon
bacalo	bakalo	original dictionary spelling	merged from candidate lexicon
bacam	bakam	original dictionary spelling	merged from candidate lexicon
bacas	bakas	original dictionary spelling	merged from candidate lexicon
bacay	bakay	original dictionary spelling	merged from candidate lexicon
baccue	backue	original dictionary spelling	merged from candidate lexicon
bacásbacás	bakasbakas	original dictionary spelling	merged from candidate lexicon
bacía	basia	original dictionary spelling	merged from candidate lexicon
badana	bandana	original dictionary spelling	merged from candidate lexicon
bag-guâ	bag-gua	original dictionary spelling	merged from candidate lexicon
bagcus	bagkus	original dictionary spelling	merged from candidate lexicon
baguc-bagucan	baguc-bagukan	original dictionary spelling	merged from candidate lexicon
bague	bage	original dictionary spelling	merged from candidate lexicon
baguâ	bagua	original dictionary spelling	merged from candidate lexicon
bahu	baho	original dictionary spelling	merged from candidate lexicon
bakicung	bakikung	original dictionary spelling	merged from candidate lexicon
bakiâ	bakia	original dictionary spelling	merged from candidate lexicon
balabá	balaba	original dictionary spelling	merged from candidate lexicon
balacang	balakang	original dictionary spelling	merged from candidate lexicon
balais	balauis	original dictionary spelling	merged from candidate lexicon
balancari	balankari	original dictionary spelling	merged from candidate lexicon
balance	balanse	original dictionary spelling	merged from candidate lexicon
balangcad	balangkad	original dictionary spelling	merged from candidate lexicon
balangcas	balangkas	original dictionary spelling	merged from candidate lexicon
balangcat	balangkat	original dictionary spelling	merged from candidate lexicon
balangkinitan	balingkinitan	original dictionary spelling	merged from candidate lexicon
balantacan	balantakan	original dictionary spelling	merged from candidate lexicon
balanği	balangi	original dictionary spelling	merged from candidate lexicon
balanğinği	balangingi	original dictionary spelling	merged from candidate lexicon
balanğubang	balangubang	original dictionary spelling	merged from candidate lexicon
balağa	balaga	original dictionary spelling	merged from candidate lexicon
balağamas	balagamas	original dictionary spelling	merged from candidate lexicon
balbacua	balbakua	original dictionary spelling	merged from candidate lexicon
baliarina	balierina	original dictionary spelling	merged from candidate lexicon
balic-cuas	balic-kuas	original dictionary spelling	merged from candidate lexicon
balic-cuit	balic-kuit	original dictionary spelling	merged from candidate lexicon
balicascas	balikaskas	original dictionary spelling	merged from candidate lexicon
balicat	balikat	original dictionary spelling	merged from candidate lexicon
balicubac	balikubac	original dictionary spelling	merged from candidate lexicon
balicucu	balikuku	original dictionary spelling	merged from candidate lexicon
balicuitan	balikuitan	original dictionary spelling	merged from candidate lexicon
balicungcung	balikungkung	original dictionary spelling	merged from candidate lexicon
balicutsa	balikutsa	original dictionary spelling	merged from candidate lexicon
baligat	balikat	original dictionary spelling	merged from candidate lexicon
balikucha	balikutsa	original dictionary spelling	merged from candidate lexicon
balilâ	balila	original dictionary spelling	merged from candidate lexicon
balimbinğan	balimbingan	original dictionary spelling	merged from candidate lexicon
balisasâ	balisasa	original dictionary spelling	merged from candidate lexicon
